content,date,ticket,title
Gabelli Portfolio Manager and Defense Analyst Tony Bancroft discusses NATO spending and Boeing being a big part of the Gabelli Commercial Aeorspace and Defense ETF (ticker: GCAD).,"(['Bloomberg ', ' 4 hours ago'],)","(['BA '],)","Gabelli's Bancroft on NATO Spending, Boeing Holdings In GCAD"
"(Reuters) -Boston Federal Reserve Bank President Susan Collins on Thursday signaled she feels July would be too soon to considering cutting interest rates.“We’re only going to have really one more month of data before the July meeting,” Collins told Bloomberg News. “I expect to want to see more information than that.”Collins also said she sees no urgency to cut rates and that her baseline expectation, that the Fed will resume cutting rates later this year, ""could mean one rate cut, it's possible it means more than that, but I think the data will really need to tell us.""(Reporting by Ann Saphir; Editing by Chris Reese)","(['Reuters ', ' 3 hours ago'],)","([],)",Fed's Collins: not enough data by July to decide on a rate cut
"The U.S. dollar sank to its lowest level in three years on Thursday following a report that President  is planning to pick his nominee to serve as the next chair of the Federal Reserve early.The Wall Street Journal's  Index – which measures the dollar's strength relative to a basket of 16 foreign currencies – dipped to a low of 97.01 on Thursday morning before paring some of that decline to 97.07.The dollar's decline comes in the wake of a  on Wednesday that suggested Trump is considering announcing his pick to succeed Fed Chair Jerome Powell, whose term as chair ends next year.Trump has repeatedly criticized Powell and the Fed for not cutting interest rates, while also slinging insults, calling him a ""numbskull"" along with the derisive nickname ""Mr. Too Late."" At this week's NATO summit, Trump said during a press conference that Powell is ""terrible"" and is a ""very average mentally person"" who has ""low IQ for what he does."" policymakers have cited economic uncertainty stemming from trade policy and potential inflation from tariffs as one of the main reasons for leaving the benchmark federal funds rate at a range of 4.25% to 4.5%, where it has been since the Fed's last cut in December.The Fed  for its fourth consecutive meeting last week, and is scheduled to hold its next meeting in late July.The president is considering naming Powell's successor by September or October, according to the Journal's report, which cited people familiar with the matter – some of whom suggested to the outlet an announcement could occur this summer.Among the leading contenders Trump is considering for the role are former Fed governor Kevin Warsh and National Economic Council Director Kevin Hassett, while other possibilities include Treasury Secretary Scott Bessent, former World Bank President David Malpass and Fed governor Christopher Waller, the Journal reported.If Trump were to announce the nominee this year, it would give the presumptive future Fed chair more of an opportunity to signal how they would approach monetary policy decisions prior to the end of Powell's term, the report noted.However, monetary policy decisions are made by the board's voting members as a group and not solely by the chair, so it's unclear the extent to which a quasi-shadow Fed chair would be able to influence those moves. as Fed chair is due to expire in mid-May 2026, though he could choose to continue to serve as a member of the Fed's board of governors once his chairmanship ends.His term as a member of the Fed's board of governors is scheduled to conclude at the end of January 2028.He has declined to say whether he will remain at the Fed after his term as chair concludes, saying at a recent press conference that his only focus is on handling monetary policy moves in the near term. ","(['Fox Business ', ' 3 hours ago'],)","(['USD=X '],)",Dollar slides to 3-year low on report Trump plans to name next Fed chair early
"It’s an exciting time in the stock market right now with the major US indexes nearing their former all-time highs. Earlier in the week, the widely-followed Nasdaq 100 ETF QQQ closed at a fresh all-time high.This has been a lockout rally that left many in the dust. And because many investors missed the big move, they will continue to snap up shares on weakness, which could help lift stocks even further.After the see-saw action this year, it’s a good time to take a step back and examine what led us here and also take a peek into one of the portfolios I manage at Zacks.This portfolio is growth-oriented that we call Headline Trader; it focuses on companies with positive new events. Whether that be new products or services, changes in company management, earnings and revenue surprises, or other innovations, this type of headline news can cause a repricing of stocks, propelling a surge of optimism within the market and subsequent price appreciation.In this video, I’m going to peel back the curtain a bit and dive into some of these methods that have enabled our subscribers to achieve a 127% average return with 100% open-trade winners. Make sure to stick with me to the end where I’ll reveal a stock I am targeting right now, one that I believe has the potential to be a triple-digit winner over the next year.Want the latest recommendations from Zacks Investment Research? Today, you can download 7 Best Stocks for the Next 30 Days. ","(['Zacks ', ' 3 hours ago'],)","(['QQQ '],)",Zacks Profit Secrets: Low-Risk Strategy Produces 127% Average Return
"TMX VettaFi Investment Strategist Cinthia Murphy says ""defense really is an industrials play."" She speaks with Scarlet Fu and Katie Greifeld on ""ETF IQ.""","(['Bloomberg ', ' 2 hours ago'],)","([],)",Defense Is An Industrials Play: TMX VettaFi's Murphy
JPMorgan launches the new Active High Yield ETF (ticker: JPHY) with a portfolio dedicated to at least 80% junk-rated bonds. Bloomberg's Eric Balchunas has more on JPMorgan.,"(['Bloomberg ', ' 1 hour ago'],)","([],)",Launching The JPMorgan Active High Yield ETF
"(Bloomberg) -- Investors are piling into speculative and volatile edges of the stock market, throwing caution to the wind as the S&P 500 Index closes in on an all-time high.Most Read from BloombergThe risks remain: President Donald Trump’s tariff pause is scheduled to end in two weeks, signs of a slowing economy and weakening consumer sentiment are mounting, and war is rumbling in the background. Wall Street strategists are encouraging everyone to buy stocks with strong balance sheets that can withstand any sudden shock. But investors appear to be ignoring all of it.The Invesco S&P 500 High Beta ETF, an exchange-traded fund that tracks highly volatile stocks, is on track for its best quarter since 2020 relative to the Invesco S&P 500 Low Volatility ETF. Meanwhile, a Goldman Sachs gauge of stocks with weak balance sheets is eyeing the best month relative to the S&P 500 since January.“This is the very beginning of a period of FOMO that happens in the late stages of every structural bull market — every single one,” said Julian Emanuel, chief equity and quantitative strategist at Evercore ISI. “What we are surprised by is the speed at which speculation has been embraced given the record bearishness just a little over two months ago and also in light of what continues to be significant economic and policy uncertainty.”The key is individual investors, who favor momentum plays like big tech stocks and speculative names. They kept buying even in early April when the S&P 500 teetered on the brink of a bear market and institutional money managers sold out during the depths of the tariff-fueled market meltdown.Buying Dips Works“Let’s go back to the various dips that we’ve seen in the market, starting with Covid,” said Paul Nolte, market strategist and senior wealth adviser at Murphy & Sylvest Wealth Management. “Every time that the market declined in a very short fashion, investors have learned: Buy the dip and buy the higher-beta type stocks.”Large-cap technology behemoths have been the main drivers of the markets in the past two years. They had a brief hiatus earlier this year when the rise of Chinese artificial intelligence startup DeepSeek raised concerns about who will dominate AI, but tech giants are back in the driver’s seat, leading the sharp recovery in the S&P 500 since the tariff selloff.“Once the tariffs kind of de-escalated, investors came back to the dominant theme, which is AI,” said Keith Lerner, co-chief investment officer at Truist Advisory Services.This strong focus on big tech is even holding back one risky corner of the market — small-cap stocks. The small-capitalization Russell 2000 Index and the S&P 600 Index, which unlike the Russell only includes profitable smaller companies, are both lagging the S&P 500 this year and quarter.Strategists point out that technology has a relatively lighter weight in these small-cap gauges. Information technology and communication services together have a nearly 43% weight in the S&P 500, but just 13% in the Russell 2000 and and about 16% in the S&P 600.The strength of tech firms is also driving profit growth at the index level. The S&P 500’s earnings this year are estimated to grow about 8% from last year, with information technology the strongest anticipated gainer at nearly 21%. Expectations for other sectors pale in comparison.“In a time of uncertainty around earnings, investors are gravitating towards areas that have more of a secular theme,” Truist’s Lerner said.(Updates Goldman Sachs gauge performance in third paragraph.)Most Read from Bloomberg Businessweek©2025 Bloomberg L.P.","(['Bloomberg ', ' 1 hour ago'],)","(['^SPX ', '^SP600 '],)",Wall Street Goes All-In on Risky Stocks
"U.S. stocks approached a new record Thursday.The S&P 500 rose 0.8% and is just 0.05% below its all-time closing high, which was set in February. The Dow Jones Industrial Average rallied 0.9%, and the Nasdaq gained 1%.McCormick helped lead the market after the seller of cooking spices delivered a better-than-expected profit report. Treasury yields eased in the bond market following a couple of better-than-expected reports on the U.S. economy, including on jobless claims and orders for long-lasting manufactured goods. Stock indexes were mixed across much of Europe and Asia.On Thursday:The S&P 500 rose 48.86 points, or 0.8%, to 6,141.02.The Dow Jones Industrial Average rose 404.41 points, or 0.9%, to 43,386.84.The Nasdaq composite rose 194.36 points, or 1%, to 20,167.91.The Russell 2000 index of smaller companies rose 35.92 points, or 1.7%, to 2,172.11.For the week:The S&P 500 is up 173.18 points, or 2.9%.The Dow is up 1,180.02 points, or 2.8%.The Nasdaq is up 720.50 points, or 3.7%.The Russell 2000 is up 62.84 points, or 3%.For the year:The S&P 500 is up 259.39 points, or 4.4%.The Dow is up 842.62 points, or 2%.The Nasdaq is up 857.12 points, or 4.4%.The Russell 2000 is down 58.05 points, or 2.6%.","(['Associated Press Finance ', ' 1 hour ago'],)","(['^SPX ', '^DJI '],)","How major US stock indexes fared Thursday, 6/26/2025"
"US stocks climbed just points away from record highs on Thursday amid growing bets on interest rate cuts.The S&P 500 () came just shy from its February record to gain 0.8%. The Nasdaq Composite () moved up more than 1%. The Dow Jones Industrial Average () also roughly 400 points or 0.9%. Nvidia stock () was up 1%, building on its.President Trump appeared to get closer to naming his replacement for Federal Reserve Chair Jerome Powell. Trump's frustration with Powell's ""wait and see"" approach to interest rates has  to succeed the Fed chair in September or October, The Wall Street Journal .Markets view that as a signal that early US rate cuts have become more likely, given Trump has criticized the Fed chair for not lowering borrowing costs.  as the labor market shows continued signs of weakness.Meanwhile, stocks also gained on Thursday as the White House press secretary Karoline Leavitt that Trump's July 9 deadline ""is not critical"" for countries to strike trade deals with the US to avoid reciprocal tariffs. Earlier, the White House's chief economist,  that Trump would likely extend the deadline for countries ""negotiating in good faith.""The dollar ()  since April 2022, already under pressure from concerns about tariff impacts and a looming US default. Treasury yields also declined, with the benchmark 10-year () trading around 4.25%.Investors got a snapshot of the health of the economy in a clutch of data Thursday. The highlights: The US economy shrank 0.5% in the first quarter, according to the , worse than previously thought.  rose, with continuing claims rising to their highest level since late 2021.The main event for Wall Street to end the week lands Friday with the release of the Fed's preferred inflation gauge, the Personal Consumption Expenditures (PCE) report. Investors will be watching closely for any signs that Trump's tariffs pushed prices higher.The S&P 500 () inched closer toward a record close on Thursday as investors increasingly see a Fed rate cut in the cards as soon as July.The broad-based index added about 0.8%, coming just shy of its February record close.Meanwhile the Dow Jones Industrial Average () added 0.9% or 400 points. The Nasdaq Composite also gained nearly 1%, buoyed by shares of AI chip giant Nvidia (), which closed at another record high on Thursday.Investors are growing increasingly confident that the Federal Reserve will cut interest rates by the end of the year, as labor market data .Data from the  released Thursday showed 1.974 million continuing claims were filed in the week ending June 14, up from 1.937 million the week prior and the highest level seen since November 2021. Economists see an increase in continuing claims as a sign that those out of work are taking longer to find new jobs.""Employment risks are trending higher,"" Jefferies US economist Thomas Simons wrote in a note to clients on Thursday.Elsewhere in economic data on Thursday, the third estimate for gross domestic product for the first quarter showed that US economic growth contracted at an annualized rate of 0.5%, more than the 0.2% previously reported.Following Thursday's data releases, markets were pricing in a 27% chance the central bank cuts interest rates at its next meeting in late July, up from a 12.5% chance seen last week, . Odds of a cut by the end of September have also surged, with markets now pricing in a 92% chance the central bank will have lowered rates by then, up from a 64% chance seen just a week ago.Battery developer QuantumScape () soared over 29% Thursday after rising roughly 31% the prior day.The gains come after the company announced  in its process for manufacturing solid-state lithium-metal batteries.Yahoo Finance's Pras Subramanian reports:The Wall Street Journal  Thursday that Nvidia-backed () AI cloud firm CoreWeave () is in talks to acquire Core Scientific (), , sending shares of Core Scientific up more than 28% in afternoon trading.CoreWeave has tried to acquire the bitcoin miner and data center operator before — as recently as last year. But Core Scientific said last June that it rejected the ""unsolicited"" proposal to purchase it for $5.75 per share (valuing the company at over $1 billion). Core Scientific had a market cap of more than $4.5 billion as of Thursday.Core Scientific, which went bankrupt in 2022 but  in 2024, already does business with CoreWeave. Last year, the two firms announced a """" for Core Scientific to host CoreWeave's Nvidia GPUs at its data centers.CoreWeave is one of the largest holders of Nvidia's () graphics processing units and rents its data center capacity to Big Tech firms such as Microsoft () and Meta (), as their own stores of GPUs haven't been sufficient to power their AI ambitions.CoreWeave's business model has  from some on Wall Street due to its massive pile of debt borrowed at high interest rates.Mortgage rates dropped for the fourth consecutive week as geopolitical tensions eased and Treasury yields fell, Yahoo Finance's Claire Boston reports.Boston wrote:Circle shares rose over 12% Thursday after a two-day plummet as the USDC () stablecoin issuer is expected to face rising competition.Circle stock  Tuesday and nearly 11% Wednesday.That drop came afterfueled by investor optimism over stablecoin regulation and adoption. The US Senate  last week — legislation that would establish a federal framework for digital tokens backed by assets such as the US dollar. But that regulation could also accelerate competition in the space, Ferré reported.Circle's gain on Thursday helped recover losses earlier in the week. Shares traded at nearly $224 by midday, up 620% for the month but below the stock's record close above $263 on Monday.Bloomberg Intelligence analyst Diksha Gera wrote in a note Thursday that  since its  ""signals strong investor enthusiasm and growing institutional appetite for stablecoins.""Gera added that blockchain-based tokens tied to currencies ""are moving from the fringe into the financial mainstream.""President Trump's top economist told Yahoo Finance that he doesn't expect the aggregate tariff rate to fall materially below 10% and that the White House may extend the negotiating period for some countries engaging in trade talks.""My expectation would be that for countries that are negotiating in good faith and making progress, that rolling back the deadline makes sense,"" Council of Economic Advisers chairman Stephen Miran said on Yahoo Finance's . ""I mean, you don't blow up a deal that's that's in process and making really good faith, sincere, authentic progress by dropping a tariff bomb in it.""In recent weeks, President Trump and administration officials have signaled some leeway in the July 9 tariff deadline as investors remain on watch for the return of ""Liberation Day"" tariffs that  markets.All three major averages were higher in afternoon trading, with the S&P 500 (), Dow Jones (), and Nasdaq () up around 0.7%.The S&P 500 () was trading just a stone's throw away on Thursday from its record close from February, as well as its intraday all-time high.The broad-based index rose 0.6% to hover near 6,130 by around 11:40 a.m. ET. The S&P 500 last touched an intraday record of 6,147.43 in February, along with a record close of 6,144.15.Industrials (), Communications Services () and Tech () have all led the overall market higher this year.AI chip giant Nvidia () stock continued to tick higher Thursday, rising roughly 1after closing at a record in the prior session.Nvidia () stock continued to tick higher Thursday, rising more than 1% in early trading after notching a record high above $154 the prior day.The gains come amid bullish predictions for the AI chip market on Wall Street.Loop Capital analyst Ananda Baruah on Wednesday raised his price target on Nvidia shares to $250, the highest of Wall Street analysts tracked by Yahoo Finance, implying that the AI chipmaker's market capitalization could soar to $6 trillion. Baruah expects the market for AI chips to grow to $2 trillion in 2028.Baruah said that ""we are entering the next 'Golden Wave' of Gen AI adoption and NVDA is at the front-end of another material leg of stronger than anticipated demand.""Bank of America analyst Vivek Arya wrote in his own note to investors Wednesday that he forecasts demand for AI chips reaching a more modest but still impressive $650 billion by 2030, up from $201 billion in 2025. Arya said Nvidia is set to be a ""key beneficiary"" as it's ""still far ahead"" of new entrants in the sector.Yahoo Finance's Francisco Velasquez Read US stocks climbed on Thursday amid growing bets on interest rate cuts as President Trump appeared to get closer to naming his replacement for Federal Reserve Chair Jerome Powell.The Nasdaq Composite climbed about 0.3%. The S&P 500 () added about 0.4%, with its first record close since February in sight. Meanwhile, the Dow Jones Industrial Average () also rose 0.4%, or around 200 points.Nvidia () stock was up marginally and on track to build on its.Walgreens Boots Alliance stock () gained less than 1% in premarket trading on Thursday after the pharmacy chain beat earnings estimates in its fiscal third quarter.Store closures and cost-cutting efforts boosted Walgreens' profits to $0.38 per share, ahead of Bloomberg-compiled estimates of $0.31 per share. Walgreens reported revenue of $39 billion, beating estimates for $36.8 billion.CEO Tim Wentworth noted that the company remains focused on its turnaround plan. Walgreens is being taken private by Sycamore Partners in a $10 billion deal expected to close later this year.Weekly claims for unemployment benefits slipped from their highest level in eight months during the first full week of June while the number of Americans filing for unemployment insurance on an ongoing basis reached the highest level since November 2021.Data from the  released Thursday showed 1.974 million continuing claims were filed in the week ending June 14, up from 1.937 million the week prior and the highest level seen since November 2021. Economists see an increase in continuing claims as a sign that those out of work are taking longer to find new jobs.The data release also showed 236,000 initial jobless claims were filed in the week ending June 21, below 246,000 the week prior.The data's release comes as the US labor market Platinum () futures surged to their highest level since 2014, rising more than 5% at one point to as high as $1,411.80 per ounce. Year to date, platinum futures have climbed around 56% as supply concerns have driven the metal higher.Prices for palladium (), which is sometimes used as an alternative to platinum, also increased more than 3% to trade $1,107.50.Bloomberg reports:Gold () futures also opened higher after as investors wait for more clarity on whether the Israel-Iran ceasefire will hold.Yahoo Finance's  writes in today's :Nike () is set to report its fiscal fourth quarter earnings after market close today, and Wall Street is bracing for more poor results.Yahoo Finance's Brooke DiPalma reports:.: First quarter GDP; First quarter personal consumption; Initial jobless claims (week ended June 21); Pending home sales (May); Durable goods orders (May preliminary); Wholesale inventories (May preliminary): McCormick (),  (), Walgreens Boots Alliance () stock was up 1% in premarket trading on Thursday after notching . stock was up over 2% before the bell on Thursday after delivering third-quarter results and fourth-quarter forecasts that exceeded estimates. But despite the upbeat results, Wall Street was not impressed. rose 1% in premarket trading after touching a 52-week high the day before. analysts dubbed the cryptocurrency platform a ""one-stop Amazon"" of crypto services.The dollar () has hit a low against the euro that hasn't been reached in over three and a half years. Concerns over Trump's tariff impacts on US economic stability, combined with a loss of trust over the ability of the Fed to remain independent, have consistently applied downward pressure on the greenback.Reuters reports:","(['Yahoo Finance ', ' 1 hour ago'],)","(['^SPX ', '^IXIC '],)","Stock market today: Stock rally leaves S&P 500, Nasdaq within inches of records, Dow gains 400 points"
"mericans’ wallets could be set to take a hit as the U.S. dollar has tumbled to a three-year low amid concerns about the stability and strength of the country’s economy.The dip could aid domestic businesses that export U.S. goods, but will make international travel and imports pricier for Americans. The U.S. dollar has already lost about 10% of its value this year, in contrast with the euro, which reached its highest level in nearly four years after gaining 0.4% on Tuesday.The devaluation of the dollar, the world’s dominant reserve currency, on Thursday came after news outlets reported that President Donald Trump is considering announcing a new Federal Reserve Chair this fall, ahead of the end of current Chair Jerome Powell’s term. The Wall Street the news on Wednesday. The Fed has faced pressure from Trump to lower borrowing costs, but has stopped short of doing so in order to assess the potential impact of the President’s tariffs and keep unemployment low.In addition to Trump’s tariffs, his “Big, Beautiful Bill” has contributed to uncertainty surrounding the U.S. economy. Economists have warned that the legislation  more than $2.5 trillion to the federal debt, despite claims by the Administration that it would save money.Here’s what to know about the weakening dollar.A number of factors contribute to the value of the U.S. dollar, among them how in demand it is from central banks and other financial institutions. The country’s broader fiscal situation, including inflation rates, trade relationships, debt, and trade deficits, also play a role.As economists have warned about a potential U.S. recession or economic slowdown, investors have pulled back on investing in the U.S. “The institutional quality that the U.S. had in terms of being a safe haven has been really undermined,” says Bilge Erten, a professor of economics at Northeastern University. “Why would you invest in U.S. assets when you know that the U.S. dollar is likely to continue to lose value?”Trump and his policies have contributed to many of the concerns raised about the economy in recent months. Some experts, however, say that while political factors help shape the strength of the U.S. dollar, its devaluation was projected to occur regardless of the winner of the 2024 presidential election. “No matter what happened, there was a high chance that the dollar was going to fall, and I think it's going to fall further,” says Kenneth Rogoff, a Harvard professor and author of .Rogoff, who predicted the fall of the U.S. dollar in his book, argues that its dip in value is part of  its typical fluctuation. “It had reached a high we had only seen in 2002 and 1985 and both of those times, it fell very sharply in the ensuing years,” he says. The dollar most recently saw a  around 2015, though it deteriorated during the COVID-19 pandemic, before rising again. Its recent high rate meant that it was projected to fall in the years to come, according to Rogoff.That’s not to dismiss the role that Trump’s policies may be playing, however.Rogoff points to the President’s sweeping “Liberation Day” tariffs as a policy that he says “accelerated the process.”“Trump can absolutely make the dollar go down by saying, ‘I'm going to tax investors if they come into the United States,’ which is in the Senate Bill. That's obviously going to discourage money. It's going to drive down the dollar. So there are lots of ways to play with it,” Rogoff says.The dip in the U.S. dollar means that its exchange rate is less strong, making international travel more expensive for Americans. The prices of imported goods will also be higher, experts warn. “When someone from Europe is selling to the U.S., they're going to take [the dollar’s devaluation] into account, because once they convert what they get in dollars into euros, they're getting less,” says Erten. “That means they have to sell it at a higher price to get the same value.”Companies that export U.S. goods, however, may benefit from a more competitive edge. The dollar’s lowering value means that the cost of American goods and services will decrease in price when taking into account the exchange rates. “Services that U.S. workers compete for will cost less,” says Rogoff.In that respect the fall of the U.S. dollar may work to the advantage  of Trump, who has vowed to bring back manufacturing jobs to the U.S. On the other hand, the labor market, which , might be impacted. A reduction of foreign investments into the U.S. could lead to more unemployment, which currently stands at a low 4.2%, . at .","(['Time ', ' 1 hour ago'],)","(['USD=X ', 'EUR=X '],)",What the U.S. Dollar's Dip Means For You
"U.S. stocks approached a new record Thursday.The S&P 500 rose 0.8% and is just 0.05% below its all-time closing high, which was set in February. The Dow Jones Industrial Average rallied 0.9%, and the Nasdaq gained 1%.McCormick helped lead the market after the seller of cooking spices delivered a better-than-expected profit report. Treasury yields eased in the bond market following a couple of better-than-expected reports on the U.S. economy, including on jobless claims and orders for long-lasting manufactured goods. Stock indexes were mixed across much of Europe and Asia.On Thursday:The S&P 500 rose 48.86 points, or 0.8%, to 6,141.02.The Dow Jones Industrial Average rose 404.41 points, or 0.9%, to 43,386.84.The Nasdaq composite rose 194.36 points, or 1%, to 20,167.91.The Russell 2000 index of smaller companies rose 35.92 points, or 1.7%, to 2,172.11.For the week:The S&P 500 is up 173.18 points, or 2.9%.The Dow is up 1,180.02 points, or 2.8%.The Nasdaq is up 720.50 points, or 3.7%.The Russell 2000 is up 62.84 points, or 3%.For the year:The S&P 500 is up 259.39 points, or 4.4%.The Dow is up 842.62 points, or 2%.The Nasdaq is up 857.12 points, or 4.4%.The Russell 2000 is down 58.05 points, or 2.6%.","(['Associated Press ', ' 1 hour ago'],)","(['^SPX ', '^DJI '],)","How major US stock indexes fared Thursday, 6/26/2025"
"(Bloomberg) -- US Treasuries were headed for a third week of advances, rallying on Thursday after economic data releases reinforced bets that the Federal Reserve will cut interest rates at least twice this year.Most Read from BloombergThe move pushed down yields across maturities, with most tenors falling to the lowest level in more than a month. A Bloomberg Treasuries index has returned about 0.6% for the week.“We’re going to continue to rock and roll for a few reasons, in terms of lower yields,” said Andrew Brenner, head of international fixed income at NatAlliance Securities. “There’s a real fear out there that the unemployment number a week from today is going to be a lot weaker. We’ll have month-end on Monday which could see some reallocation from equities to bonds.”Traders are turning their attention to the jobs report as it will provide a key data point ahead of the Fed’s meeting later in the month. They are already fully pricing in two cuts by year-end, starting in September, and wagers on a third quarter-point reduction could gain momentum if the number is weak.On Thursday, the growth rate for personal spending during the first quarter — part of a revision to US first-quarter gross domestic product — was unexpectedly revised to 0.5% from 1.2%. Other economic data points — including fewer-than-expected initial jobless claims — showed unexpected strength.Short-dated bonds — which are more tied to the outlook for Fed policy — gained the most following the release, with two-year yields dipping seven basis points to 3.71% by the end of the session. The widely watched spread between the five- and 30-year points increased to more than 101 basis points for the first time since 2021 and a $44 billion auction of seven-year notes was well received. A steepening yield curve is generally associated with expectations for Fed rate cuts.Some bonds were already gaining before the economic data releases following a report in the Wall Street Journal suggesting President Donald Trump is considering naming a successor to Fed chief Jerome Powell as soon as September or October.“Today’s data showed further weakness,” said Tracy Chen, a portfolio manager at Brandywine Global Investment Management. In addition, the potential early announcement of the next Fed Chair “and perceived less Fed independence will likely contribute further to the steepener move.”Investors and analysts reckon Powell’s replacement will grant the president’s demands that the Fed cut interest rates right away causing traders to price in faster and deeper cuts beginning around mid-2026, when Powell’s term ends. Fed Governors Christopher Waller and Michelle Bowman in the past week have signaled they’d be open to lowering rates as soon as the next meeting.“Waller and Bowman pushing for early rate cuts has helped the front end to rally, with the curve steepening in the process,” said Mark Dowding, chief investment officer of the BlueBay Fixed Income unit at RBC Global Asset Management. “Trump’s move to announce a Fed Chair early can increase political pressure on the Fed to cut rates and this is also a factor leading to a steeper curve.”Wagers on lower interest rates weighed on the dollar, which weakened against all of its Group-of-10 peers. The Bloomberg’s Dollar Spot Index slumped 0.5% to the lowest level in more than three years. Michael Pfister, an FX analyst at Commerzbank AG, says the euro could climb to $1.18 in the coming days if policymakers continue to price in earlier rate cuts.Potential contenders to succeed Powell include former Fed Governor Kevin Warsh, current Fed Governor Christopher Waller, National Economic Council Director Kevin Hassett, former World Bank President David Malpass and US Treasury Secretary Scott Bessent, Bloomberg News has previously reported.Last week, US rates traders amassed a record futures bet that whomever Trump appoints will lead the central bank to cut interest rates almost immediately.In a Bloomberg Television interview, BlackRock Inc. portfolio manager Russell Brownback said the market would push back if the Fed’s independence began to come into question.“The markets would protest any kind of degradation of that independence very quickly,” he said. “I believe in the sanctity of the institution.”--With assistance from Anya Andrianova, Alice Atkins, Ruth Carson and Ye Xie.Most Read from Bloomberg Businessweek©2025 Bloomberg L.P.","(['Bloomberg ', ' 1 hour ago'],)","(['BLK ', 'CRZBF '],)",US Treasuries Poised for Third Week of Gains on Rate-Cut Bets
"(Bloomberg) -- Roaring returns for US IPOs are driving fresh optimism that activity will pick up steam later this year and into 2026, even as worries over geopolitics and President Donald Trump’s tariffs hang over the market.Most Read from BloombergLed by triple-digit-percent increases for Circle Internet Group Inc. and CoreWeave Inc. — two of the year’s five largest initial public offerings on US exchanges — this year’s class of debutantes are trading up by a weighted average of about 53%, data compiled by Bloomberg show. That’s left investors hungry for more, particularly in a year where the S&P 500 Index has struggled to remain in the black.“We’ve been positively surprised by the way the market has handled the tariff headlines, and how investors have thought about that potential risk factor,” according to Keith Canton, JPMorgan Chase & Co.’s co-head of Americas equity capital markets.That resilience could draw out some of the companies that had been planning to go before Trump’s tariffs briefly derailed activity. The US IPO calendar into summer is sparse, but the second half of 2025 has more promise.A handful of $1 billion-plus IPOs are likely before the end of the year, most of which will come after Labor Day, said Canton.Volume MirageAt nearly the half-way mark of the year, IPOs on US exchanges have raised $29.1 billion, surging 45% versus the same period last year, according to data compiled by Bloomberg.That’s not nearly as good as it sounds.Proceeds from IPOs are actually down from last year, when you excise the $12.1 billion of blank-check vehicle listings — an increase of more than 400% from last year. While special purpose acquisition companies have raised a lot of money in listings, some of the underwriters’ fees are deferred until the blank-check merges with a private firm and takes it public. That activity remains depressed compared to the heady levels of 2021.Excluding SPACs and tiny listings by companies raising less than $50 million, only 33 IPOs have priced this year, down from 41 in the first half of 2024.April, typically a strong month, saw only two sizable debuts, with the Trump administration’s so-called Liberation Day tariff announcement putting dozens of deals on hold.With those tensions having retreated to the background, blockbuster debuts such as stablecoin issuer Circle’s are working to restore the reputation of IPOs for fast share-price appreciation, and wealth creation.Thematically, financial technology and crypto-related companies may continue to figure heavily in the deal mix, and many investors await the return of software and biotech, sectors that historically saw plenty of activity.Private tech companies that have been on many IPO wishlists still have no shortage of alternatives to going public. ChatGPT developer OpenAI raised $40 billion from a private funding round, the latest record-setting demonstration of the depth of capital available. Still, bankers say even that has its limits.“At some point these companies want liquidity on a larger scale than private markets provide, even in an environment in which a $40 billion round is possible,” said Heath Terry, Citigroup Inc.’s global head of technology and communications research. “We will see that eventually.”Understanding Over ValuationsThe lack of near-term listings speaks to a perennial debate over whether investors and pre-IPO companies are reaching an understanding over valuations.A combination of investors’ painful memories from overpaying for IPOs in the go-go days of 2021, and asset owners’ unwillingness to go public at valuations significantly below that era’s peak, has left many companies stuck in the pipeline for the past three and a half years.The logjam may be easing. IPOs — which can include the company raising new money, backers selling existing shares, or both — have recently featured more shares offered by existing investors, known as secondary shares. These help to limit the dilution that would result from the company selling new shares at a lower valuation than the nosebleed levels achieved in previous funding rounds.“Since mid-May, we have seen greater secondary participation in IPOs, despite wider IPO discounts versus what we have seen historically,” said Jim Cooney, head of Americas ECM at Bank of America Corp.All that aside, concerns around geopolitical tensions haven’t gone away, and the Federal Reserve is keeping interest rates higher than many investors — and the White House — would like. Bankers are required to balance their optimism with pragmatism, according to Clay Hale, Wells Fargo & Co.’s co-head of ECM.“The optimistic side tells you markets are trading well today, there are a lot of high-quality companies that have a desire to be in the public markets, and investors are making a decent return from IPOs,” said Hale.“The pragmatic part is that there are a lot of things going on that can grab investors’ attention, whether it be taxes, tariffs or geopolitics, which create a need to be more thoughtful.”Most Read from Bloomberg Businessweek©2025 Bloomberg L.P.","(['Bloomberg ', ' 8 hours ago'],)","(['CRCL ', 'CRWV '],)",US IPO Stocks Jump Over 50% in 2025 as Investor Appetite for Risk Grows
